Name,Address,Type,Bedroom limit,Guest limit,Expiration date,Location,Y,X
516 S Dorgenois St,516 S Dorgenois St,Short Term Rental Commercial Owner,2,5,11/11/2022 23:59,"(29.9606030466068, -90.0892656704537)",29.9606030466068, -90.0892656704537
1210 S Rampart St Unit 1B,1210 S Rampart St Unit 1B,Short Term Rental Residential Owner,2,4,6/27/2023 23:59,"(29.9436221825203, -90.0784593414273)",29.9436221825203, -90.0784593414273
624 S Miro St,624 S Miro St,Short Term Rental Commercial Owner,5,10,11/11/2022 23:59,"(29.9580154964913, -90.0871467011987)",29.9580154964913, -90.0871467011987
1030 Kerlerec St Apt 3,1030 Kerlerec St Apt 3,Short Term Rental Commercial Owner,2,4,11/10/2022 23:59,"(29.9663236986569, -90.0626983550869)",29.9663236986569, -90.0626983550869
518 S Dorgenois St,518 S Dorgenois St,Short Term Rental Commercial Owner,2,4,11/11/2022 23:59,"(29.9605816137577, -90.0892762017721)",29.9605816137577, -90.0892762017721
23096 Chef Menteur Hwy,23096 Chef Menteur Hwy,Short Term Rental Commercial Owner,3,6,11/3/2022 23:59,"(30.0946255291455, -89.7670573024888)",30.0946255291455, -89.7670573024888
1021 Louisa St,1021 Louisa St,Short Term Rental Residential Owner,2,4,8/29/2023 2:24,"(28.0988907068706, -101.517799134252)",28.0988907068706, -101.517799134252
1026 Josephine St,1026 Josephine St,Short Term Rental Commercial Owner,2,4,11/3/2022 23:59,"(29.9298693584731, -90.0755693553574)",29.9298693584731, -90.0755693553574
855 Baronne St Unit 6B,855 Baronne St Unit 6B,Short Term Rental Commercial Owner,2,4,11/1/2022 23:59,"(29.9452594846043, -90.0747577308854)",29.9452594846043, -90.0747577308854
4705 Freret St,4705 Freret St,Short Term Rental Commercial Owner,2,4,11/23/2022 23:59,"(29.935070719781, -90.1066658406292)",29.935070719781, -90.1066658406292
4525 Dryades St,4525 Dryades St,Short Term Rental Commercial Owner,2,4,11/22/2022 23:59,"(29.9295658135833, -90.1043947464636)",29.9295658135833, -90.1043947464636
1572 Magazine St Apt D,1572 Magazine St Apt D,Short Term Rental Commercial Owner,1,2,11/23/2022 23:59,"(29.9327284399725, -90.0726833232675)",29.9327284399725, -90.0726833232675
1572 Magazine St Apt E,1572 Magazine St Apt E,Short Term Rental Commercial Owner,1,2,11/23/2022 23:59,"(29.9327267848643, -90.0726684417138)",29.9327267848643, -90.0726684417138
2247 St Claude Ave,2247 St Claude Ave,Short Term Rental Commercial Owner,3,6,3/23/2023 23:59,"(29.9689344264277, -90.0552316902256)",29.9689344264277, -90.0552316902256
1572 Magazine St Apt B,1572 Magazine St Apt B,Short Term Rental Commercial Owner,1,2,11/23/2022 23:59,"(29.9327357007606, -90.0727235818619)",29.9327357007606, -90.0727235818619
1572 Magazine St Apt F,1572 Magazine St Apt F,Short Term Rental Commercial Owner,1,2,11/23/2022 23:59,"(29.9327212215258, -90.072647484365)",29.9327212215258, -90.072647484365
1041 Tchoupitoulas St,1041 Tchoupitoulas St,Short Term Rental Commercial Owner,2,4,3/23/2023 23:59,"(29.9409105746801, -90.0673505685156)",29.9409105746801, -90.0673505685156
1572 Magazine St Apt G,1572 Magazine St Apt G,Short Term Rental Commercial Owner,3,6,11/23/2022 23:59,"(29.9327171725867, -90.072623855756)",29.9327171725867, -90.072623855756
4703 Freret St,4703 Freret St,Short Term Rental Commercial Owner,2,4,11/23/2022 23:59,"(29.9350735188892, -90.1066357165367)",29.9350735188892, -90.1066357165367
737 Eleonore St,737 Eleonore St,Short Term Rental Commercial Owner,5,10,1/11/2023 23:59,"(29.9216093320788, -90.1197978259271)",29.9216093320788, -90.1197978259271
1524 Baronne St Apt 3B,1524 Baronne St Apt 3B,Short Term Rental Commercial Owner,5,10,1/11/2023 23:59,"(29.9398076866226, -90.0780528444061)",29.9398076866226, -90.0780528444061
855 Baronne St Unit 5D,855 Baronne St Unit 5D,Short Term Rental Commercial Owner,3,6,1/10/2023 23:59,"(29.9452481568876, -90.0748212171431)",29.9452481568876, -90.0748212171431
931 Touro St,931 Touro St,Short Term Rental Residential Owner,3,6,1/11/2023 23:59,"(29.9671327332648, -90.0590934207344)",29.9671327332648, -90.0590934207344
2000 Burgundy St Ste 301,2000 Burgundy St Ste 301,Short Term Rental Commercial Owner,2,4,1/11/2023 23:59,"(29.9662728133743, -90.0590256023681)",29.9662728133743, -90.0590256023681
719 France St,719 France St,Short Term Rental Residential Owner,2,4,2/15/2023 23:59,"(29.9614736430167, -90.0345747956616)",29.9614736430167, -90.0345747956616
1218 Joliet St,1218 Joliet St,Short Term Rental Residential Owner,2,4,2/13/2023 23:59,"(29.950500721834, -90.1329010717728)",29.950500721834, -90.1329010717728
1724 Louisiana Ave Apt 1A,1724 Louisiana Ave Apt 1A,Short Term Rental Commercial Owner,3,6,3/22/2023 23:59,"(29.9298147625628, -90.0924066302005)",29.9298147625628, -90.0924066302005
1916 Washington Ave,1916 Washington Ave,Short Term Rental Residential Owner,2,4,3/1/2023 0:00,"(29.9337663755801, -90.0882303310459)",29.9337663755801, -90.0882303310459
600 Canal St Apt 505,600 Canal St Apt 505,Short Term Rental Commercial Owner,1,2,7/13/2023 23:59,"(29.9524606824558, -90.0685629464843)",29.9524606824558, -90.0685629464843
2014 St Philip St,2014 St Philip St,Short Term Rental Residential Owner,2,4,3/1/2023 0:00,"(29.9684668112717, -90.074357136476)",29.9684668112717, -90.074357136476
1617 Arts St,1617 Arts St,Short Term Rental Residential Owner,2,4,5/2/2023 23:59,"(29.9744625699782, -90.0501922802849)",29.9744625699782, -90.0501922802849
1029 Philip St,1029 Philip St,Short Term Rental Commercial Owner,4,8,10/11/2023 23:59,"(29.9287184836197, -90.0773857520082)",29.9287184836197, -90.0773857520082
639 S Tonti St,639 S Tonti St,Short Term Rental Commercial Owner,5,10,8/3/2023 23:59,"(29.9584267562347, -90.0884801293775)",29.9584267562347, -90.0884801293775
833 Baronne St Apt 4A,833 Baronne St Apt 4A,Short Term Rental Commercial Owner,,,10/10/2023 23:59,"(29.9457758507935, -90.0747547549417)",29.9457758507935, -90.0747547549417
